 Mineral Name   ,   Locality Count   ,   mindat ID 1   ,   Locality Longname 1   ,   Max Age 1   ,   Min Age 1   ,   mindat ID 2   ,   Locality Longname 2   ,   Max Age 2   ,   Min Age 2   
Coskrenite-(Ce),1,5549,"Alum Cave Bluff, Sevier Co., Tennessee, USA",1000,541,,,,
Cossaite,1,5552,"La Fossa Crater, Vulcano Island, Lipari, Eolie Islands (Aeolian Islands), Messina Province, Sicily, Italy",,,,,,
Costibite,19,,,,,,,,
Cotunnite,54,,,,,,,,
Coulsonite,16,,,,,,,,
Cousinite,1,4328,"Shinkolobwe Mine (Kasolo Mine), Shinkolobwe, Kambove District, Haut-Katanga, DR Congo",1800,64,,,,
Coutinhoite,1,395,"Urucum Claim (Córrego Do Urucum Pegmatite), Galiléia, Minas Gerais, Brazil",630,560,,,,
Covellite,4165,,,,,,,,
Cowlesite,84,,,,,,,,
Coyoteite,1,3460,"Coyote Peak, Coastal Range, Humboldt Co., California, USA",29,29,,,,
Crandallite,310,,,,,,,,
Cranswickite,1,262754,"Sulfacor Mines, Sierra Del Tontal, Calingasta, Calingasta Department, San Juan Province, Argentina",,,,,,
Crawfordite,1,2672,"Koashva Open Pit (Vostochnyi Mine), Koashva Mt, Khibiny Massif, Murmansk Oblast, Russia",413.6,319.6,,,,
Creaseyite,27,,,,,,,,
Crednerite,35,,,,,,,,
Creedite,48,,,,,,,,
Crerarite,3,,,,,,,,
Crichtonite,27,,,,,,,,
Criddleite,3,,,,,,,,
Crimsonite,1,6744,"Silver Coin Mine, Valmy, Iron Point District, Humboldt Co., Nevada, USA",,,,,,
Cristobalite,453,,,,,,,,
Crocoite,81,,,,,,,,
Cronstedtite,54,,,,,,,,
Cronusite,1,3762,"Norton County Meteorite, Norton Co., Kansas, USA",,,,,,
Crookesite,14,,,,,,,,
Crowningshieldite,1,25731,"Letseng-La-Terae Mine (Letseng Mine; Lets'eng Mine), Maluti Mts., Mokhotlong District, Lesotho",,,,,,
Cryobostryxite,1,259832,"Northern Fumarole Field, First Scoria Cone (First Cinder Cone), Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Cryolite,50,,,,,,,,
Cryolithionite,5,,,,,,,,
Cryptochalcite,1,251235,"Arsenatnaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Cryptohalite,14,,,,,,,,
Cryptomelane,599,,,,,,,,
Cryptophyllite,1,175693,"Tsentral'nyi Mine (Centralnyi Mine; Central Mine), Rasvumchorr Mine, Rasvumchorr Mt, Khibiny Massif, Murmansk Oblast, Russia",413.6,319.6,,,,
Cualstibite,6,,,,,,,,
Cuatrocapaite-(K),1,190910,"Torrecillas Mine, Salar Grande, Iquique Province, Tarapacá, Chile",174,145,,,,
Cuatrocapaite-(NH4),1,190910,"Torrecillas Mine, Salar Grande, Iquique Province, Tarapacá, Chile",174,145,,,,
Cubanite,802,,,,,,,,
Cuboargyrite,1,16428,"Bergmannstrost Mine, Baberast District, Welschbollenbach, Haslach, Black Forest, Baden-Württemberg, Germany",358.9,251.9,,,,
Cubo-ice,1,17292,"Orapa Mine, Orapa, Letlhakane, Central District, Botswana",,,,,,
Cumengeite,43,,,,,,,,
Cummingtonite,327,,,,,,,,
