,id,mineral,min_age,max_age,locality_longname,rarity_group,is_outlier
169,1304,Dolomite,541.0,2500.0,"United Verde Mine (The Big Hole; Big Hole Property; Hull Mine; Hopewell Tunnel; Patented Claim 3480; Patented Claim 2812; Patented Claims 3348), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
170,1304,Dolomite,742.0,2706.0,"Channar Mine, Paraburdoo, Ashburton Shire, Western Australia, Australia",Ubiquitous,True
171,1304,Dolomite,1491.0,2500.0,"Dongshengmiao Mine, Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China",Ubiquitous,True
172,1304,Dolomite,1600.0,2500.0,"Coxco Deposit, Borroloola, McArthur River Area, Roper Gulf Region, Northern Territory, Australia",Ubiquitous,True
173,1304,Dolomite,1600.0,2500.0,"Black Angel Mine, Maarmorilik, Avannaata, Greenland, Denmark",Ubiquitous,True
174,1304,Dolomite,1600.0,2500.0,"Balaria Mine, Zawar Mines, Udaipur, Udaipur District, Udaipur Division, Rajasthan, India",Ubiquitous,True
175,1304,Dolomite,1790.0,2770.0,"Mount Tom Price Mine, Tom Price, Ashburton Shire, Western Australia, Australia",Ubiquitous,True
176,1304,Dolomite,1810.0,2615.0,"SiilinjÃ¤rvi Mine, SiilinjÃ¤rvi, Northern Savonia, Finland",Ubiquitous,True
177,1304,Dolomite,2500.0,4000.0,"Sulphur Springs Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
178,1304,Dolomite,2500.0,4000.0,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",Ubiquitous,True
179,1304,Dolomite,2500.0,4000.0,"Selbaie Mine (Detour Mine), Baie-James, Nord-du-QuÃ©bec, QuÃ©bec, Canada",Ubiquitous,True
180,1304,Dolomite,2540.0,3009.0,"Tupertalik Mt., Isortoq Fjord (SÃ¸ndre Isortoq), Qeqqata, Greenland, Denmark",Ubiquitous,True
181,1304,Dolomite,2575.0,2816.0,"Hemlo Gold Deposit, Bomby Township, Thunder Bay District, Ontario, Canada",Ubiquitous,True
182,1304,Dolomite,2594.0,2727.0,"Mount Charlotte Gold Mine, Kalgoorlie-Boulder, Kalgoorlie-Boulder Shire, Western Australia, Australia",Ubiquitous,True
197,1304,Dolomite,2782.0,2969.0,"Gravelotte, Murchison Range, Limpopo, South Africa",Ubiquitous,True
198,1304,Dolomite,2800.0,2932.0,"Sherlock Bay Deposit, Roebourne, Roebourne Shire, Western Australia, Australia",Ubiquitous,True
