id,mineral,min_age,max_age,locality_longname,rarity_group
447,Azurite,0.0,2000.0,"Azurite Mine (Blue Bell), Pinal Mountains District, Pinal Mts, Gila Co., Arizona, USA",Ubiquitous
447,Azurite,25.0,580.0,"Baofengyuan U Deposit (Baoyan U Deposit), Xiushui Uranium Ore Field, Xiushui Co., Jiujiang, Jiangxi, China",Ubiquitous
447,Azurite,26.5,550.0,"Baitou U Deposit (Baiti U Deposit), Xiushui Uranium Ore Field, Xiushui Co., Jiujiang, Jiangxi, China",Ubiquitous
447,Azurite,65.5,1141.0,"Gedabek Mine (Kedabek Mine), GÉdÉbÉy District (Gadabey), Azerbaijan",Ubiquitous
447,Azurite,100.0,1500.0,"Luchang-Datongchang Ag-Cu Deposit, Huili Co., Liangshan, Sichuan, China",Ubiquitous
447,Azurite,100.0,2000.0,"Novazza Mine, Valgoglio, Seriana Valley, Bergamo Province, Lombardy, Italy",Ubiquitous
447,Azurite,145.0,1216.0,"De'erni Cu-Co-(Zn) Deposit (Derni Cu-Co-(Zn) Deposit), Dur'ngoi Ophiolite, MaqÃªn Co., Golog, Qinghai, China",Ubiquitous
447,Azurite,213.0,1824.0,"Huogeqi Mine (Hegeqi Mine), Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China",Ubiquitous
447,Azurite,309.0,1000.0,"Huidong Lead-zinc Mine (Daliangzi Pb-Zn Deposit), Huidong Co., Liangshan, Sichuan, China",Ubiquitous
447,Azurite,393.0,547.0,"Stoney Man Mine, Northern Section-Blue Ridge Province, Madison Co., Virginia, USA",Ubiquitous
447,Azurite,461.0,581.0,"Musonoi Mine (Musonoi Extension Mine), Kolwezi, Kolwezi Mining District, Lualaba, DR Congo",Ubiquitous
447,Azurite,495.0,541.0,"North East Prospect (North East Mine; Tritton North Projec; Larsens NE Prospect), Girilambone, Canbelego Co., New South Wales, Australia",Ubiquitous
447,Azurite,495.0,541.0,"Ediacara Mine (Beltana North; Ediacara Consolidated; New Ediacara Consolidated), Ediacaran Fossil Reserve, Beltana, Leigh Creek, North Flinders Ranges, Flinders Ranges, South Australia, Australia",Ubiquitous
