name,imayear,discovery_year,yearrruff,locality_counts,rarity_group
Chanabayaite,2013.0,,2013.0,1.0,Endemic
Changbaiite,,1978.0,1978.0,5.0,Transitional
Changchengite,,,1995.0,2.0,Generally Rare
Changoite,,,1997.0,7.0,Transitional
Chantalite,,1977.0,1977.0,3.0,Generally Rare
Chaoite,1968.0,,1968.0,5.0,Transitional
Chapmanite,,1924.0,1924.0,36.0,Transitional
Charleshatchettite,2015.0,,2015.0,1.0,Endemic
Charlesite,1981.0,1981.0,1981.0,12.0,Transitional
Charmarite,1998.0,,1992.0,1.0,Endemic
Charoite,,1978.0,1977.0,14.0,Transitional
Chatkalite,,1981.0,1981.0,9.0,Transitional
Chayesite,1987.0,1987.0,1987.0,7.0,Transitional
Chegemite,2008.0,,2008.0,3.0,Generally Rare
Chekhovichite,,1987.0,1986.0,6.0,Transitional
Chelkarite,,1968.0,1968.0,1.0,Endemic
Chenevixite,,1866.0,1866.0,116.0,Ubiquitous
Chengdeite,,,1994.0,7.0,Transitional
Chenguodaite,2005.0,,2004.0,3.0,Generally Rare
Chenite,1983.0,1983.0,1983.0,47.0,Transitional
Chenmingite,2013.0,,2017.0,2.0,Generally Rare
Cheralite,1953.0,,1953.0,72.0,Ubiquitous
Cheremnykhite,,1990.0,1989.0,2.0,Generally Rare
Cherepanovite,,1985.0,1984.0,19.0,Transitional
Chernikovite,,1988.0,1985.0,24.0,Transitional
Chernovite-(Y),,,1967.0,57.0,Transitional
Chernykhite,,1972.0,1972.0,7.0,Transitional
Chervetite,,1963.0,1963.0,8.0,Transitional
Chesnokovite,2006.0,,2006.0,1.0,Endemic
Chessexite,1981.0,1981.0,1981.0,2.0,Generally Rare
Chesterite,,1977.0,1977.0,10.0,Transitional
Chestermanite,1986.0,1986.0,1986.0,1.0,Endemic
Chevkinite-(Ce),,1839.0,1842.0,112.0,Ubiquitous
Chiappinoite-(Y),2014.0,,2014.0,1.0,Endemic
Chiavennite,,1970.0,1981.0,25.0,Transitional
Chibaite,2009.0,,2008.0,1.0,Endemic
Chihuahuaite,2009.0,,2009.0,1.0,Endemic
Childrenite,,1823.0,1823.0,116.0,Ubiquitous
Chiluite,,1989.0,1988.0,1.0,Endemic
Chinchorroite,2013.0,,2018.0,1.0,Endemic
Chinleite-(Y),,,2016.0,2.0,Generally Rare
Chiolite,,1846.0,1846.0,6.0,Transitional
Chirvinskyite,,,2016.0,1.0,Endemic
Chistyakovaite,2005.0,,2005.0,3.0,Generally Rare
Chivruaiite,2004.0,1978.0,2004.0,5.0,Transitional
Chiyokoite,,,2019.0,1.0,Endemic
Chkalovite,,1938.0,1938.0,22.0,Transitional
Chladniite,1993.0,1993.0,1993.0,5.0,Transitional
Chloraluminite,,1873.0,1873.0,6.0,Transitional
Chlorapatite,,,1860.0,223.0,Ubiquitous
Chlorargyrite,,1565.0,1565.0,1648.0,Ubiquitous
Chlorartinite,1996.0,,1996.0,4.0,Generally Rare
Chlorbartonite,2000.0,1998.0,2000.0,8.0,Transitional
Chlorellestadite,2010.0,1982.0,2017.0,6.0,Transitional
Chlorite Group,,,,13647.0,Ubiquitous
Chloritoid,,,1832.0,440.0,Ubiquitous
Chlorkyuygenite,2013.0,,2012.0,3.0,Generally Rare
Chlormagaluminite,,1982.0,1980.0,4.0,Generally Rare
Chlormanganokalite,,1906.0,1906.0,3.0,Generally Rare
Chlormayenite,2013.0,1963.0,1963.0,24.0,Transitional
Chlorocalcite,,1872.0,1872.0,4.0,Generally Rare
Chloromagnesite,,,1873.0,6.0,Transitional
Chloromenite,1996.0,,1996.0,2.0,Generally Rare
Chlorophoenicite,,1924.0,1924.0,5.0,Transitional
Chlorothionite,,1872.0,1872.0,5.0,Transitional
Chloroxiphite,,1923.0,1923.0,10.0,Transitional
Choloalite,1980.0,1980.0,1980.0,8.0,Transitional
Chondrodite,,1817.0,1817.0,313.0,Ubiquitous
Chongite,2015.0,,2015.0,4.0,Generally Rare
Chopinite,2006.0,,2006.0,2.0,Generally Rare
Chovanite,2009.0,,2009.0,8.0,Transitional
Chrisstanleyite,,,1996.0,7.0,Transitional
Christelite,,,1995.0,6.0,Transitional
Christite,1976.0,1976.0,1976.0,9.0,Transitional
Christofschäferite-(Ce),2012.0,1982.0,2011.0,2.0,Generally Rare
Chromatite,,1963.0,1963.0,9.0,Transitional
Chrombismite,,,1995.0,2.0,Generally Rare
Chromceladonite,,,1999.0,3.0,Generally Rare
Chromferide,,,1984.0,10.0,Transitional
Chromio-pargasite,2011.0,,2011.0,2.0,Generally Rare
Chromite,,1845.0,1845.0,4342.0,Ubiquitous
Chromium,,,1980.0,29.0,Transitional
Chromium-dravite,2009.0,1983.0,1982.0,9.0,Transitional
Chromo-alumino-povondraite,2013.0,,2013.0,3.0,Generally Rare
Chromphyllite,,,1995.0,6.0,Transitional
Chromschieffelinite,2011.0,,2011.0,1.0,Endemic
Chrysoberyl,,1789.0,1789.0,389.0,Ubiquitous
Chrysocolla,,,0.0,3947.0,Ubiquitous
Chrysothallite,,,2013.0,2.0,Generally Rare
Chrysotile,,,1834.0,1086.0,Ubiquitous
Chubarovite,2014.0,,2014.0,3.0,Generally Rare
Chudobaite,,1960.0,1960.0,6.0,Transitional
Chukanovite,2005.0,,2005.0,2.0,Generally Rare
Chukhrovite-(Ca),2011.0,,2010.0,4.0,Generally Rare
Chukhrovite-(Ce),,,1973.0,5.0,Transitional
Chukhrovite-(Nd),2004.0,,2004.0,1.0,Endemic
Chukhrovite-(Y),,,1960.0,5.0,Transitional
Chukochenite,,,2020.0,1.0,Endemic
Chukotkaite,,,2020.0,1.0,Endemic
Churchite-(Y),,1865.0,1865.0,85.0,Ubiquitous
Chursinite,,1984.0,1982.0,4.0,Generally Rare
Chvaleticeite,,1986.0,1984.0,5.0,Transitional
Chvilevaite,,1988.0,1987.0,1.0,Endemic
Cianciulliite,,1991.0,1990.0,1.0,Endemic
Cinnabar,,,0.0,2801.0,Ubiquitous
Ciprianiite,2001.0,,2001.0,2.0,Generally Rare
Ciriottiite,2015.0,,2015.0,2.0,Generally Rare
Cirrolite,,,1868.0,1.0,Endemic
Clairite,1982.0,1982.0,1982.0,8.0,Transitional
Claraite,,1982.0,1981.0,53.0,Transitional
Claringbullite,2016.0,1976.0,1976.0,18.0,Transitional
