mineral,max_age,counts
Rhodochrosite,70.0,3
Aragonite,70.0,1
Siderite,70.0,3
Malachite,70.0,5
Calcite,70.0,6
Calcite,70.3,1
Siderite,70.5,1
Calcite,70.5,1
Calcite,70.7,1
Rhodochrosite,70.8,1
Malachite,70.9,1
Siderite,72.0,2
Dolomite,72.0,1
Azurite,72.0,1
Calcite,72.0,2
Siderite,72.2,1
Malachite,73.0,1
Siderite,73.0,1
Calcite,73.1,1
Cerussite,73.1,1
Smithsonite,73.1,1
Aragonite,73.1,1
Malachite,74.0,1
Calcite,74.0,1
Azurite,74.0,1
Calcite,75.0,3
Malachite,75.0,2
Azurite,75.0,1
Siderite,75.0,2
Smithsonite,75.0,1
Rhodochrosite,75.0,1
Calcite,75.9,1
Siderite,76.0,1
Dolomite,76.1,1
Cerussite,76.1,1
Calcite,76.1,1
Malachite,76.1,1
Aragonite,76.3,1
Azurite,76.3,1
Cerussite,76.4,1
Dolomite,76.4,1
Calcite,76.4,1
Smithsonite,76.4,1
Malachite,76.76,1
Azurite,76.76,1
Aragonite,76.9,1
Calcite,76.9,1
Malachite,77.0,1
Calcite,77.0,1
Calcite,78.0,1
Ankerite,78.0,1
Dolomite,78.0,1
Siderite,78.0,1
Calcite,78.1,1
Siderite,78.1,1
Siderite,79.0,1
Calcite,80.0,4
Azurite,80.0,1
Malachite,80.0,2
Dolomite,80.0,1
Calcite,80.5,1
Cerussite,80.93,1
Azurite,81.0,1
Malachite,81.0,1
Malachite,81.1,1
Azurite,82.0,1
Malachite,82.0,1
Smithsonite,82.0,1
Siderite,82.44,1
Calcite,82.44,1
Cerussite,82.5,1
Calcite,82.5,1
Azurite,83.3,1
Malachite,83.3,1
Cerussite,83.6,2
Smithsonite,83.6,1
Calcite,83.6,3
Dolomite,83.6,2
Aragonite,83.6,1
Malachite,83.6,2
Dolomite,84.0,1
Siderite,84.0,1
Malachite,84.0,3
Calcite,84.0,4
Azurite,84.0,1
Azurite,84.6,1
Cerussite,84.6,1
Malachite,84.6,1
Calcite,84.6,1
Smithsonite,84.6,1
Calcite,84.7,1
Azurite,85.0,1
Siderite,85.0,1
Malachite,85.8,1
Calcite,85.8,1
Azurite,86.0,1
Malachite,86.0,1
Calcite,86.3,1
Siderite,86.3,1
Calcite,86.6,1
Calcite,87.1,1
Dolomite,87.6,1
Calcite,87.6,1
Ankerite,88.0,1
Calcite,88.0,1
Dolomite,88.0,1
Azurite,88.0,1
Malachite,88.0,1
Calcite,88.38,1
Siderite,88.38,1
Calcite,89.0,1
Siderite,89.5,1
Calcite,89.8,1
Malachite,89.8,2
Smithsonite,89.8,1
Cerussite,89.8,2
Azurite,89.8,2
Malachite,89.9,1
Azurite,89.9,1
Calcite,90.0,3
Dolomite,90.0,1
Ankerite,90.0,1
Malachite,90.0,3
Azurite,90.0,3
Calcite,90.8,1
Malachite,90.88,1
Azurite,90.88,1
Siderite,91.0,1
Calcite,91.4,1
Dolomite,91.4,1
Calcite,91.6,1
